name,city,state,chain,verdict,facility_type,confidence,reason,trophies,tss
Kelley's Market,Rockford,IL,Kelley's Market,confirmed_touchless,touchless_automatic,0.92,"Description explicitly states 'touchless (brushless) automated car wash'. Customer review mentions 'laser car wash' confirming touchless technology.","Rockford, IL #3",
Niagara Car Wash,Baldwinsville,NY,,confirmed_touchless,touchless_automatic,0.99,"Website explicitly states touch-free automatic bays. Multiple 5★ reviews confirm touchless/touch-free experience. No brush/cloth contact mentioned.","Syracuse, NY #1",92
Wash Fair Car Wash,Springfield,VA,,uncertain,unknown,0.45,"Website claims touchless/high-pressure but describes traditional ride-thru tunnel (inconsistent). Reviews mention 'brushless' and 'touch less' but also report paint damage, suggesting friction wash.","Washington, DC #1",68
Liberty Wash,Rome,NY,,confirmed_touchless,touchless_automatic,0.95,"Website explicitly states 'Laser Wash Process' and 'Laser Dri'. Customer reviews confirm laser wash technology. Laser wash = touchless/automatic.","Utica-Rome, NY #3",69
Kwik Trip,SAINT JOSEPH,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless wash, no brushes/cloth. Equipment listed as PDQ Laserwash 360 Plus (touchless laser system).","St. Cloud, MN #2",
Time To Shine Car Wash,Wichita,KS,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly confirms touchless automatic with high-pressure laser rinse. Multiple 5★ reviews praise touchless wash. Self-serve bays also available but touchless automatic is primary service.","Wichita, KS #3",89
Rapid Car Wash,Victor,NY,,confirmed_touchless,mixed_with_touchless,0.95,"Website confirms LaserWash G5 touchless automatic bay. Mixed facility (also has soft cloth tunnel), but touchless automatic present and praised in reviews.","Rochester, NY #3",74
Hartwell Car Wash,Rock Island,IL,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly advertises 'Touch Free Wash' across all membership tiers. Multiple reviews confirm touchless automatic bays present. Mixed facility with both touchless and brush options available.","Quad Cities, IA-IL #2",76
Kwik Trip,WATERLOO,IA,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly states touchless automatic; PDQ Laserwash 360 Plus is confirmed touchless laser equipment.","Waterloo-Cedar Falls, IA #3",
Mocksville Auto Pride Carwash,Mocksville,NC,Royal Rinse Car Wash,confirmed_touchless,mixed_with_touchless,0.95,"Royal Rinse chain explicitly operates Washworld Touch-Free IBA automated bays alongside self-serve. Reviews confirm touchless option available; one reviewer accidentally used brush bay but touchless bay clearly exists.","Statesville, NC #3",64
Kelly’s Market Car Wash,Rockford,IL,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'brush-free Laser Wash', 'touch free', multiple laser wash mentions. Customer review confirms 'touch free car wash'. Clear automatic touchless technology.","Rockford, IL #1",
Ride With Pride Carwash 2,Taylorsville,NC,,confirmed_touchless,mixed_with_touchless,0.92,"Website confirms automatic touchless wash option available. Self-serve bays present but insufficient alone. Automatic touchless bay explicitly mentioned; qualifies as mixed facility.","Statesville, NC #2",69
Phil Dean's Car Wash,St. Petersburg,FL,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple customer reviews explicitly confirm touchless/touch-free automatic bay. Mixed facility with detailing services also offered.","Tampa, FL #1",87
Blue Tide Car Wash - Touchless,Sioux Falls,SD,Blue Tide Car Wash,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly labeled touchless; multiple reviews confirm touchless wash; no brush/bristle mentions. Automatic bay confirmed.","Sioux Falls, SD #3",85
Victory Auto Wash - Lowell,Lowell,MA,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm 'touch free' / 'touch-free' automatic wash. Description states 'touchless automated car wash experience.' No brushes/cloth mentioned.","Worcester, MA #1",91
Port City Touchless Car Wash,Portsmouth,NH,,confirmed_touchless,touchless_automatic,0.95,"Explicit touchless_automatic classification. Description confirms high-pressure water+detergent, no brushes/cloth/foam curtains. Reviews consistently affirm touchless/touch-free service with no paint damage.","Sanford, ME #1",82
Ogden Car Wash,Wilmington,NC,,confirmed_touchless,mixed_with_touchless,0.92,"Multiple reviews confirm genuine touchless/no-touch automatic bay. Mixed facility: touchless lane + microfiber brush lane + soft-touch lane present. Touchless option clearly available.","Wilmington, NC #1",72
Anderson Ultra Express Car Wash North George St.,York,PA,,confirmed_touchless,touchless_automatic,0.92,"Website explicitly states 'touch-free automatic car wash' at this location. Multiple reviews confirm touchless/touch-free experience. One negative review alleges scratching but describes touch-free wash, likely pressure-related rather than brush contact.","York, PA #3",69
Klean Ride Touchless and Self-Sevice Car Wash,San Antonio,TX,,confirmed_touchless,mixed_with_touchless,0.95,"Listing explicitly states automatic touch-free option. Multiple reviews confirm touchless automatic wash; no brush/cloth contact mentioned negatively.","San Antonio, TX #3",90
Wash World Car Wash,Boalsburg,PA,,confirmed_touchless,touchless_automatic,0.92,"Listing explicitly describes automatic high-pressure water/detergent touchless wash. Multiple reviews confirm touchless/brushless operation. Website lacks detail but description clarifies service.","State College, PA #2",84
Wash ICT,Wichita,KS,,confirmed_touchless,touchless_automatic,0.92,"Multiple reviews explicitly confirm touchless/brush-free automatic wash. One negative review mentions scratching, but majority evidence supports touchless operation.","Wichita, KS #1",81
