name,city,state,chain,verdict,facility_type,confidence,reason,trophies,tss
Panther Car Wash,Derby,KS,,confirmed_touchless,mixed_with_touchless,0.92,"Website & reviews confirm automatic touchless/laser bay with overhead gantry & high-pressure nozzles. Also operates soft-touch & self-serve bays. Touchless bay present = qualifies.","Wichita, KS #3",61
Unlimited Auto Wash West Palm Beach,West Palm Beach,FL,,not_touchless,detailing_only,0.95,"Website explicitly states '100% hand car wash' multiple times. No touchless/brushless automatic technology mentioned on site. Evidence contradicts listing description.","West Palm Beach, FL #1",81
Key West Car Wash LLC,Warsaw,IN,,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly states automatic touchless (water pressure + detergent, no brushes/cloth/foam curtains). Multiple reviews confirm 2 touchless/brushless bays. One review mentions brush side exists, confirming mixed facility with touchless option.","Warsaw, IN #3",80
Liberty Wash,Rome,NY,,confirmed_touchless,touchless_automatic,0.95,"Website explicitly states 'Laser Wash Process' and 'Laser Dri'. Customer reviews confirm laser wash (touchless). No brush/cloth contact evidence.","Utica-Rome, NY #3",69
Prestige Car Wash,Shrewsbury,MA,Prestige Car Wash,not_touchless,soft_touch,0.95,"Website explicitly states 'soft cloth technology' with friction-based washing. Soft cloth contact disqualifies as touchless despite marketing claims.","Worcester, MA #2",61
Time To Shine Car Wash,Wichita,KS,,confirmed_touchless,mixed_with_touchless,0.98,"Website confirms touchless automatic + laser rinse. Multiple 5★ reviews explicitly praise touchless wash. Self-serve bays also available but touchless automatic is primary offering.","Wichita, KS #2",89
CC's Touchless Car Wash,Vineland,NJ,CC's Touchless Car Wash,confirmed_touchless,mixed_with_touchless,0.95,"Listing explicitly states touchless_automatic offering. Multiple reviews confirm touch-free/touchless wash system. Mixed facility with self-serve bays also present.","Vineland, NJ #1",71
Victory Auto Wash - Lowell,Lowell,MA,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm 'touch free' and 'touchless' automatic wash. Description states 'touchless automated car wash experience.' No brush/cloth contact mentioned.","Worcester, MA #1",91
Ogden Car Wash,Wilmington,NC,,confirmed_touchless,mixed_with_touchless,0.92,"Reviews confirm genuine touchless/no-touch automatic bay present. Facility also operates soft-touch brush lane, but touchless option clearly available.","Wilmington, NC #2",72
Wash ICT,Wichita,KS,,confirmed_touchless,touchless_automatic,0.92,"Multiple reviews explicitly confirm touchless/brush-free automatic wash. One negative review about scratches does not negate clear touchless design evidence.","Wichita, KS #1",81
